"taxon","lfc_(Intercept)","lfc_dietvegan","se_(Intercept)","se_dietvegan","W_(Intercept)","W_dietvegan","p_(Intercept)","p_dietvegan","q_(Intercept)","q_dietvegan","diff_(Intercept)","diff_dietvegan","passed_ss_(Intercept)","passed_ss_dietvegan","diff_robust_(Intercept)","diff_robust_dietvegan"
"_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_finegoldii",-0.486371804021891,0.719366924104686,0.599762417831023,1.14952516243889,-0.81094078181958,0.625794847829551,0.462891907919811,0.565383846400929,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ihumii",-0.136755980849901,-0.0996263674307072,0.296097349881381,0.886379170695283,-0.461861549604165,-0.112397008779617,0.675612775467051,0.917607453156162,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"indistinctus",-0.852177552533102,1.33362770273722,0.295785506229228,0.601052279113853,-2.88106595687174,2.21882147207465,0.102316624876899,0.156723685969596,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"onderdonkii",1.51814375995978,-3.28966420385865,0.283037520575534,1.3131900496634,5.36375444807726,-2.50509376361925,0.00583163945556266,0.0664042247629636,0.414046401344949,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"putredinis",-1.11823898715512,1.98310129037115,1.6124463382285,1.78058397277387,-0.693504621297145,1.11373645988837,0.526158615615959,0.327801146685997,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"senegalensis",0.912540838657263,-2.09442806648606,0.188893308985374,0.897298055922709,4.83098551006867,-2.33414978742188,0.0402768715365536,0.144733528264391,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"shahii",-0.78675643724364,1.32013619054818,0.919411099848418,1.42060557386366,-0.855717793023547,0.929277073690325,0.440385366560827,0.405347113250976,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"uncultured Alistipes sp.",-1.03502311436948,1.46762033605671,0.241448886222819,0.952267999062659,-4.28671728646665,1.54118413881526,0.0503447763983868,0.263193979196053,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"distasonis",-0.137818162468494,0.0222596409978917,0.546050315232711,0.849417309281493,-0.252390958532384,0.026205777483768,0.813177605097682,0.980348478353527,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"johnsonii",-0.183986784361749,-0.234452323958741,1.05750434253621,1.32975806469,-0.173982060367236,-0.176312015083283,0.87789664505614,0.87628631005611,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"merdae",0.495912661355354,-1.2452020066498,1.51181036967469,2.39378247042201,0.328025704349457,-0.520181771750663,0.759344290388944,0.630400143535852,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"sapiens",0.521005198178709,-1.29538708029651,0.6351678855345,0.903224183451668,0.820263760250217,-1.43418113025517,0.458132108995995,0.224828698369793,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"wadsworthia",-0.713009335928818,0.860795891034155,0.480370964075858,1.05744964416253,-1.48428899590239,0.814030148656281,0.234389088563554,0.475236441343821,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"brigit",0.0600732948630179,-0.490873992055017,0.321693999502853,0.797324867251347,0.186740489271964,-0.615651175846589,0.869090867987366,0.600850963494872,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"muciniphila",0.048617056041243,-0.350610796021581,0.798726537733599,2.12039663891655,0.0608682117651866,-0.165351514705631,0.954384043351039,0.876687721063737,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
